roll_number,name,branch,section,semester
22BCS001,Student 22BCS001,CSE,A,7
22BCS002,Student 22BCS002,CSE,A,7
22BCS003,Student 22BCS003,CSE,A,7
22BCS004,Student 22BCS004,CSE,A,7
22BCS005,Student 22BCS005,CSE,A,7
22BCS006,Student 22BCS006,CSE,A,7
22BCS007,Student 22BCS007,CSE,A,7
22BCS008,Student 22BCS008,CSE,A,7
22BCS009,Student 22BCS009,CSE,A,7
22BCS010,Student 22BCS010,CSE,A,7
22BCS011,Student 22BCS011,CSE,A,7
22BCS012,Student 22BCS012,CSE,A,7
22BCS013,Student 22BCS013,CSE,A,7
22BCS014,Student 22BCS014,CSE,A,7
22BCS015,Student 22BCS015,CSE,A,7
22BCS016,Student 22BCS016,CSE,A,7
22BCS017,Student 22BCS017,CSE,A,7
22BCS018,Student 22BCS018,CSE,A,7
22BCS019,Student 22BCS019,CSE,A,7
22BCS020,Student 22BCS020,CSE,A,7
22BCS021,Student 22BCS021,CSE,A,7
22BCS022,Student 22BCS022,CSE,A,7
22BCS023,Student 22BCS023,CSE,A,7
22BCS024,Student 22BCS024,CSE,A,7
22BCS025,Student 22BCS025,CSE,A,7
22BCS026,Student 22BCS026,CSE,A,7
22BCS027,Student 22BCS027,CSE,A,7
22BCS028,Student 22BCS028,CSE,A,7
22BCS029,Student 22BCS029,CSE,A,7
22BCS030,Student 22BCS030,CSE,A,7
22BCS031,Student 22BCS031,CSE,A,7
22BCS032,Student 22BCS032,CSE,A,7
22BCS033,Student 22BCS033,CSE,A,7
22BCS034,Student 22BCS034,CSE,A,7
22BCS035,Student 22BCS035,CSE,A,7
22BCS036,Student 22BCS036,CSE,A,7
22BCS037,Student 22BCS037,CSE,A,7
22BCS038,Student 22BCS038,CSE,A,7
22BCS039,Student 22BCS039,CSE,A,7
22BCS040,Student 22BCS040,CSE,A,7
22BCS041,Student 22BCS041,CSE,A,7
22BCS042,Student 22BCS042,CSE,A,7
22BCS043,Student 22BCS043,CSE,A,7
22BCS044,Student 22BCS044,CSE,A,7
22BCS045,Student 22BCS045,CSE,A,7
22BCS046,Student 22BCS046,CSE,A,7
22BCS047,Student 22BCS047,CSE,A,7
22BCS048,Student 22BCS048,CSE,A,7
22BCS049,Student 22BCS049,CSE,A,7
22BCS050,Student 22BCS050,CSE,A,7
22BCS051,Student 22BCS051,CSE,A,7
22BCS052,Student 22BCS052,CSE,A,7
22BCS053,Student 22BCS053,CSE,A,7
22BCS054,Student 22BCS054,CSE,A,7
